rosbagTimestamp,Fx,Fy,Fz,Tx,Ty,Tz
1471539674113852485,-210673.0,547936.0,-9566654.0,-65641.0,94768.0,-11760.0
1471539674128212972,-246378.0,401386.0,-9531648.0,-58870.0,94512.0,-11861.0
1471539674129568012,-308082.0,434604.0,-9565888.0,-59742.0,91615.0,-11824.0
1471539674133930647,-406958.0,562902.0,-9528800.0,-57042.0,87802.0,-12697.0
1471539674134915377,-638928.0,605617.0,-9839241.0,-68958.0,64284.0,-12924.0
1471539674141789558,-394005.0,294684.0,-9533843.0,-41826.0,85613.0,-11181.0
1471539674143317066,-356755.0,245312.0,-9675250.0,-46048.0,81454.0,-11715.0
1471539674150346595,-568989.0,-256304.0,-10076702.0,-5453.0,64036.0,-12341.0
1471539674152953675,-821485.0,-999661.0,-10725985.0,43216.0,47734.0,-21533.0
1471539674164880568,-733453.0,-739056.0,-10760015.0,26803.0,53784.0,-21405.0
1471539674166351010,-866428.0,-382216.0,-10897271.0,12632.0,47298.0,-21180.0
1471539674169549569,-934117.0,-251076.0,-11001470.0,5581.0,45846.0,-21848.0
1471539674171090387,-949656.0,-600891.0,-11146772.0,16070.0,48906.0,-23412.0
1471539674187632056,-869175.0,-571002.0,-11330212.0,17805.0,55916.0,-24093.0
1471539674188676190,-778302.0,-264277.0,-11401144.0,3224.0,58364.0,-23105.0
1471539674192784489,-875012.0,-47967.0,-11538118.0,-13888.0,57862.0,-22904.0
1471539674194275831,-765328.0,101678.0,-11679387.0,-29140.0,59280.0,-22597.0
1471539674202134428,-568167.0,110675.0,-11934281.0,-34906.0,66246.0,-22273.0
1471539674203626931,-451939.0,287134.0,-11937003.0,-42462.0,73527.0,-20659.0
